# file...... house3_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house3:air_temperature, house3:outdoor_temperature, house3:is_COOL_on, house3:cooling_setpoint, house3_meter:measured_real_power, house3_meter:measured_real_energy
2017-10-23 23:59:00 EDT,+74,+57.991,+0,+75,+1999,+0
2017-10-24 00:00:00 EDT,+73.6943,+57.922,+0,+75,+1999,+33.3167
2017-10-24 00:01:00 EDT,+73.4504,+57.907,+0,+75,+1999,+66.6333
2017-10-24 00:02:00 EDT,+73.2553,+57.892,+0,+75,+1999,+99.95
2017-10-24 00:03:00 EDT,+73.0976,+57.877,+0,+75,+1999,+133.267
2017-10-24 00:04:00 EDT,+72.9687,+57.862,+0,+75,+1999,+166.583
2017-10-24 00:05:00 EDT,+72.8619,+57.847,+0,+75,+1999,+199.9
2017-10-24 00:06:00 EDT,+72.772,+57.832,+0,+75,+1999,+233.217
2017-10-24 00:07:00 EDT,+72.6951,+57.817,+0,+75,+1999,+266.533
2017-10-24 00:08:00 EDT,+72.6282,+57.802,+0,+75,+1999,+299.85
2017-10-24 00:09:00 EDT,+72.569,+57.787,+0,+75,+1999,+333.167
2017-10-24 00:10:00 EDT,+72.5158,+57.772,+0,+75,+1999,+366.483
2017-10-24 00:11:00 EDT,+72.4671,+57.757,+0,+75,+1999,+399.8
2017-10-24 00:12:00 EDT,+72.422,+57.742,+0,+75,+1999,+433.117
2017-10-24 00:13:00 EDT,+72.3796,+57.727,+0,+75,+1999,+466.433
2017-10-24 00:14:00 EDT,+72.3393,+57.712,+0,+75,+1999,+499.75
2017-10-24 00:15:00 EDT,+72.3006,+57.697,+0,+75,+1999,+533.067
2017-10-24 00:16:00 EDT,+72.2632,+57.682,+0,+75,+1999,+566.383
2017-10-24 00:17:00 EDT,+72.2269,+57.667,+0,+75,+1999,+599.7
2017-10-24 00:18:00 EDT,+72.1913,+57.652,+0,+75,+1999,+633.017
2017-10-24 00:19:00 EDT,+72.1563,+57.637,+0,+75,+1999,+666.333
2017-10-24 00:20:00 EDT,+72.1219,+57.622,+0,+75,+1999,+699.65
2017-10-24 00:21:00 EDT,+72.0879,+57.607,+0,+75,+1999,+732.967
2017-10-24 00:22:00 EDT,+72.0542,+57.592,+0,+75,+1999,+766.283
2017-10-24 00:23:00 EDT,+72.0208,+57.577,+0,+75,+1999,+799.6
2017-10-24 00:24:00 EDT,+71.9876,+57.562,+0,+75,+1999,+832.917
2017-10-24 00:25:00 EDT,+71.9546,+57.547,+0,+75,+1999,+866.233
2017-10-24 00:26:00 EDT,+71.9218,+57.532,+0,+75,+1999,+899.55
