# file...... house2_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house2:air_temperature, house2:outdoor_temperature, house2:is_COOL_on, house2:cooling_setpoint, house2_meter:measured_real_power, house2_meter:measured_real_energy
2017-10-23 23:59:00 EDT,+70,+57.991,+0,+73,+2909,+0
2017-10-24 00:00:00 EDT,+69.7905,+57.922,+0,+73,+2909,+48.4833
2017-10-24 00:01:00 EDT,+69.6153,+57.907,+0,+73,+2909,+96.9667
2017-10-24 00:02:00 EDT,+69.469,+57.892,+0,+73,+2909,+145.45
2017-10-24 00:03:00 EDT,+69.3462,+57.877,+0,+73,+2909,+193.933
2017-10-24 00:04:00 EDT,+69.2425,+57.862,+0,+73,+2909,+242.417
2017-10-24 00:05:00 EDT,+69.1542,+57.847,+0,+73,+2909,+290.9
2017-10-24 00:06:00 EDT,+69.0784,+57.832,+0,+73,+2909,+339.383
2017-10-24 00:07:00 EDT,+69.0127,+57.817,+0,+73,+2909,+387.867
2017-10-24 00:08:00 EDT,+70.2066,+57.802,+0,+73,+12855.8,+566.23
2017-10-24 00:09:00 EDT,+71.5241,+57.787,+0,+73,+12854.3,+780.493
2017-10-24 00:10:00 EDT,+71.3866,+57.772,+0,+73,+2909,+864.89
2017-10-24 00:11:00 EDT,+70.9649,+57.757,+0,+73,+2909,+913.374
2017-10-24 00:12:00 EDT,+70.6187,+57.742,+0,+73,+2909,+961.857
2017-10-24 00:13:00 EDT,+70.3336,+57.727,+0,+73,+2909,+1010.34
2017-10-24 00:14:00 EDT,+70.098,+57.712,+0,+73,+2909,+1058.82
2017-10-24 00:15:00 EDT,+69.9025,+57.697,+0,+73,+2909,+1107.31
2017-10-24 00:16:00 EDT,+69.7395,+57.682,+0,+73,+2909,+1155.79
2017-10-24 00:17:00 EDT,+69.6028,+57.667,+0,+73,+2909,+1204.27
2017-10-24 00:18:00 EDT,+69.4874,+57.652,+0,+73,+2909,+1252.76
2017-10-24 00:19:00 EDT,+69.3893,+57.637,+0,+73,+2909,+1301.24
2017-10-24 00:20:00 EDT,+69.3052,+57.622,+0,+73,+2909,+1349.72
2017-10-24 00:21:00 EDT,+69.2324,+57.607,+0,+73,+2909,+1398.21
2017-10-24 00:22:00 EDT,+69.1688,+57.592,+0,+73,+2909,+1446.69
2017-10-24 00:23:00 EDT,+69.1127,+57.577,+0,+73,+2909,+1495.17
2017-10-24 00:24:00 EDT,+69.0627,+57.562,+0,+73,+2909,+1543.66
2017-10-24 00:25:00 EDT,+69.0175,+57.547,+0,+73,+2909,+1592.14
2017-10-24 00:26:00 EDT,+69.9198,+57.532,+0,+73,+12829.7,+1737.09
2017-10-24 00:27:00 EDT,+71.2912,+57.517,+0,+73,+12828.3,+1950.92
2017-10-24 00:28:00 EDT,+71.5043,+57.502,+0,+73,+2909,+2068.28
2017-10-24 00:29:00 EDT,+71.0761,+57.487,+0,+73,+2909,+2116.77
2017-10-24 00:30:00 EDT,+70.7243,+57.472,+0,+73,+2909,+2165.25
2017-10-24 00:31:00 EDT,+70.4344,+57.457,+0,+73,+2909,+2213.73
2017-10-24 00:32:00 EDT,+70.1945,+57.442,+0,+73,+2909,+2262.22
2017-10-24 00:33:00 EDT,+69.9953,+57.427,+0,+73,+2909,+2310.7
2017-10-24 00:34:00 EDT,+69.829,+57.412,+0,+73,+2909,+2359.18
2017-10-24 00:35:00 EDT,+69.6893,+57.397,+0,+73,+2909,+2407.67
2017-10-24 00:36:00 EDT,+69.5712,+57.382,+0,+73,+2909,+2456.15
2017-10-24 00:37:00 EDT,+69.4706,+57.367,+0,+73,+2909,+2504.63
2017-10-24 00:38:00 EDT,+69.3841,+57.352,+0,+73,+2909,+2553.12
2017-10-24 00:39:00 EDT,+69.3092,+57.337,+0,+73,+2909,+2601.6
2017-10-24 00:40:00 EDT,+69.2435,+57.322,+0,+73,+2909,+2650.08
2017-10-24 00:41:00 EDT,+69.1855,+57.307,+0,+73,+2909,+2698.57
2017-10-24 00:42:00 EDT,+69.1335,+57.292,+0,+73,+2909,+2747.05
2017-10-24 00:43:00 EDT,+69.0865,+57.277,+0,+73,+2909,+2795.53
2017-10-24 00:44:00 EDT,+69.0435,+57.262,+0,+73,+2909,+2844.02
2017-10-24 00:45:00 EDT,+69.0038,+57.247,+0,+73,+2909,+2892.5
2017-10-24 00:46:00 EDT,+70.3524,+57.232,+0,+73,+12800.6,+3086.63
2017-10-24 00:47:00 EDT,+71.6495,+57.217,+0,+73,+12799.2,+3299.98
2017-10-24 00:48:00 EDT,+71.3606,+57.202,+0,+73,+2909,+3367.69
2017-10-24 00:49:00 EDT,+70.9599,+57.187,+0,+73,+2909,+3416.17
2017-10-24 00:50:00 EDT,+70.6301,+57.172,+0,+73,+2909,+3464.66
2017-10-24 00:51:00 EDT,+70.3577,+57.157,+0,+73,+2909,+3513.14
2017-10-24 00:52:00 EDT,+70.1318,+57.142,+0,+73,+2909,+3561.62
2017-10-24 00:53:00 EDT,+69.9436,+57.127,+0,+73,+2909,+3610.11
2017-10-24 00:54:00 EDT,+69.7859,+57.112,+0,+73,+2909,+3658.59
2017-10-24 00:55:00 EDT,+69.653,+57.097,+0,+73,+2909,+3707.07
2017-10-24 00:56:00 EDT,+69.5401,+57.082,+0,+73,+2909,+3755.56
2017-10-24 00:57:00 EDT,+69.4434,+57.067,+0,+73,+2909,+3804.04
2017-10-24 00:58:00 EDT,+69.3599,+57.052,+0,+73,+2909,+3852.52
